Id,SalePrice
1461,113471.414
1462,151711.7
1463,178380.62
1464,194819.1
1465,198181.36
1466,168550.22
1467,178292.14
1468,161656.02
1469,194504.58
1470,114495.76
1471,175216.14
1472,96951.36
1473,90182.95
1474,146708.97
1475,94811.05
1476,353075.2
1477,253602.95
1478,308033.16
1479,305179.97
1480,456230.78
1481,313374.88
1482,218247.38
1483,168520.92
1484,165890.2
1485,195278.28
1486,198942.28
1487,323512.5
1488,237681.25
1489,192810.05
1490,244245.84
1491,201549.36
1492,91556.98
1493,206117.1
1494,294956.25
1495,275354.94
1496,245796.12
1497,166901.31
1498,163405.2
1499,161444.42
1500,150794.8
1501,200538.48
1502,148217.06
1503,294591.5
1504,239752.1
1505,222254.34
1506,193860.05
1507,243785.33
1508,196839.1
1509,155650.33
1510,146387.97
1511,144367.89
1512,176533.52
1513,147224.56
1514,160964.05
1515,200723.02
1516,161937.27
1517,170780.2
1518,117169.1
1519,225367.08
1520,119953.586
1521,122030.64
1522,195891.11
1523,97625.805
1524,114444.51
1525,110285.76
1526,100328.11
1527,101024.85
1528,132516.34
1529,151232.95
1530,221118.66
1531,137436.06
1532,105669.79
1533,151457.78
1534,121764.58
1535,140431.33
1536,100329.12
1537,52051.55
1538,169108.27
1539,208178.44
1540,123692.59
1541,145361.8
1542,136770.47
1543,185924.75
1544,80909.18
1545,124864.625
1546,153078.72
1547,130387.83
1548,143842.95
1549,126317.37
1550,150236.94
1551,109907.3
1552,153252.72
1553,161305.58
1554,116124.914
1555,153778.47
1556,73425.67
1557,109592.25
1558,100840.51
1559,71790.49
1560,120400.88
1561,128532.05
1562,128136.11
1563,124601.12
1564,158190.2
1565,159339.92
1566,246930.53
1567,65688.055
1568,242842.31
1569,129743.984
1570,138431.28
1571,91772.914
1572,140018.94
1573,241259.08
1574,130398.98
1575,238403.78
1576,246001.42
1577,185586.48
1578,154574.89
1579,132502.64
1580,195359.5
1581,158741.23
1582,130844.27
1583,286865.6
1584,224426.06
1585,137063.5
1586,52409.098
1587,104055.016
1588,159410.86
1589,104907.67
1590,119727.7
1591,88821.88
1592,130828.38
1593,136414.9
1594,134232.83
1595,102979.734
1596,220882.64
1597,198039.73
1598,207206.98
1599,188146.62
1600,180507.77
1601,41760.18
1602,126363.68
1603,66095.95
1604,278976.75
1605,242395.61
1606,155294.02
1607,159078.56
1608,216136.88
1609,189108.1
1610,157279.44
1611,135990.6
1612,181923.7
1613,170657.69
1614,135523.67
1615,93016.36
1616,68918.04
1617,82229.8
1618,114114.234
1619,148348.22
1620,176595.4
1621,128525.49
1622,152322.38
1623,266193.06
1624,206829.75
1625,114420.13
1626,181913.78
1627,186177.56
1628,274841.7
1629,174900.98
1630,331150.7
1631,227566.48
1632,232024.11
1633,187879.78
1634,189187.75
1635,175292.86
1636,144043.4
1637,187104.5
1638,183362.75
1639,183844.06
1640,234357.38
1641,177926.78
1642,259527.44
1643,215533.62
1644,234161.16
1645,208389.25
1646,163440.03
1647,159108.02
1648,129240.016
1649,131472.92
1650,116496.19
1651,117029.34
1652,101287.88
1653,101000.484
1654,147107.73
1655,122480.2
1656,140965.02
1657,156376.28
1658,155678.61
1659,120334.11
1660,150667.39
1661,412732.12
1662,357300.22
1663,361365.72
1664,439888.72
1665,315002.3
1666,319774.38
1667,344003.28
1668,345905.38
1669,315252.0
1670,346254.88
1671,263331.22
1672,393331.06
1673,297487.38
1674,250305.97
1675,203478.9
1676,205363.75
1677,218043.72
1678,452971.16
1679,368291.94
1680,323800.5
1681,273519.78
1682,311081.06
1683,194740.53
1684,180257.16
1685,178922.75
1686,168554.55
1687,172246.66
1688,194059.53
1689,199660.52
1690,202531.69
1691,193093.62
1692,261883.16
1693,177308.88
1694,185363.81
1695,169017.33
1696,262195.53
1697,180428.56
1698,327307.78
1699,326801.44
1700,262550.56
1701,272380.03
1702,233479.27
1703,235006.94
1704,269551.78
1705,258854.28
1706,365701.84
1707,219496.48
1708,203433.23
1709,253902.4
1710,222799.9
1711,280099.25
1712,250789.78
1713,270390.88
1714,219883.83
1715,209124.11
1716,177194.58
1717,183447.84
1718,138320.38
1719,222213.42
1720,240058.08
1721,158335.55
1722,114778.77
1723,151688.19
1724,213439.33
1725,237541.28
1726,189431.61
1727,152227.66
1728,172619.42
1729,171944.19
1730,164210.98
1731,119468.12
1732,126256.484
1733,111761.77
1734,120582.03
1735,114338.8
1736,89456.734
1737,300599.2
1738,258421.05
1739,253057.19
1740,213185.34
1741,188511.19
1742,178780.08
1743,181198.53
1744,332929.0
1745,228572.61
1746,196581.55
1747,218601.5
1748,210548.47
1749,128515.125
1750,121187.81
1751,239979.44
1752,111046.01
1753,155704.69
1754,196197.19
1755,169877.3
1756,140378.06
1757,115615.85
1758,150749.7
1759,164503.52
1760,167790.02
1761,156482.94
1762,188391.42
1763,180833.55
1764,110819.836
1765,171210.62
1766,193941.34
1767,228614.11
1768,138772.23
1769,171576.77
1770,167076.9
1771,118751.65
1772,134337.17
1773,114069.13
1774,153774.75
1775,145127.45
1776,136310.78
1777,105763.62
1778,149226.72
1779,137122.95
1780,174927.31
1781,124360.91
1782,72362.48
1783,155243.11
1784,105298.52
1785,129299.95
1786,145582.83
1787,171943.66
1788,40493.105
